pokemon,move_name,move_level,tm
Bulbasaur,Swords Dance,0,tutor
Bulbasaur,Cut,0,machine
Bulbasaur,Vine Whip,10,
Bulbasaur,Tackle,1,
Bulbasaur,Double-Edge,0,Sootopolis City
Bulbasaur,Growl,4,
Bulbasaur,Strength,0,machine
Bulbasaur,Leech Seed,7,
Bulbasaur,Growth,32,
Bulbasaur,Razor Leaf,20,
Bulbasaur,SolarBeam,46,
Bulbasaur,PoisonPowder,15,
Bulbasaur,Sleep Powder,15,
Bulbasaur,Toxic,0,machine
Bulbasaur,Mimic,0,tutor
Bulbasaur,Double Team,0,machine
Bulbasaur,Defense Curl,0,tutor
Bulbasaur,Flash,0,machine
Bulbasaur,Rest,0,machine
Bulbasaur,Substitute,0,tutor
Bulbasaur,Snore,0,tutor
Bulbasaur,Protect,0,machine
Bulbasaur,Sludge Bomb,0,machine
Bulbasaur,Giga Drain,0,machine
Bulbasaur,Endure,0,tutor
Bulbasaur,Swagger,0,tutor
Bulbasaur,Fury Cutter,0,Route 117
Bulbasaur,Attract,0,machine
Bulbasaur,Sleep Talk,0,tutor
Bulbasaur,Return,0,machine
Bulbasaur,Frustration,0,machine
Bulbasaur,Sweet Scent,25,
Bulbasaur,Synthesis,39,
Bulbasaur,Hidden Power,0,machine
Bulbasaur,Sunny Day,0,machine
Bulbasaur,Rock Smash,0,machine
Bulbasaur,Facade,0,machine
Bulbasaur,Secret Power,0,machine
Bulbasaur,Bullet Seed,0,machine
Ivysaur,Swords Dance,0,tutor
Ivysaur,Cut,0,machine
Ivysaur,Vine Whip,10,
Ivysaur,Tackle,1,
Ivysaur,Double-Edge,0,Sootopolis City
Ivysaur,Growl,1,
Ivysaur,Strength,0,machine
Ivysaur,Leech Seed,1,
Ivysaur,Growth,38,
Ivysaur,Razor Leaf,22,
Ivysaur,SolarBeam,56,
Ivysaur,PoisonPowder,15,
Ivysaur,Sleep Powder,15,
Ivysaur,Toxic,0,machine
Ivysaur,Mimic,0,tutor
Ivysaur,Double Team,0,machine
Ivysaur,Defense Curl,0,tutor
Ivysaur,Flash,0,machine
Ivysaur,Rest,0,machine
