pokemon,lvl,move,type,power,accuracy,crit
Bulbasaur,1.0,Tackle,Normal,35.0,0.95,False
Bulbasaur,10.0,Vine Whip,Grass,35.0,1.0,False
Bulbasaur,20.0,Razor Leaf,Grass,55.0,0.95,True
Bulbasaur,,Cut,Normal,50.0,0.95,False
Bulbasaur,,Strength,Normal,80.0,1.0,False
Bulbasaur,,Rock Smash,Fighting,20.0,1.0,False
Bulbasaur,,Bullet Seed,Grass,30.0,1.0,False
Bulbasaur,,Hidden Power,Normal,60.0,1.0,False
Bulbasaur,,Giga Drain,Grass,60.0,1.0,False
Bulbasaur,,Return,Normal,102.0,1.0,False
Bulbasaur,,Sludge Bomb,Poison,90.0,1.0,False
Bulbasaur,,Facade,Normal,70.0,1.0,False
Bulbasaur,,Secret Power,Normal,70.0,1.0,False
Ivysaur,1.0,Tackle,Normal,35.0,0.95,False
Ivysaur,10.0,Vine Whip,Grass,35.0,1.0,False
Ivysaur,22.0,Razor Leaf,Grass,55.0,0.95,True
Ivysaur,,Cut,Normal,50.0,0.95,False
Ivysaur,,Strength,Normal,80.0,1.0,False
Ivysaur,,Rock Smash,Fighting,20.0,1.0,False
Ivysaur,,Bullet Seed,Grass,30.0,1.0,False
Ivysaur,,Hidden Power,Normal,60.0,1.0,False
Ivysaur,,Giga Drain,Grass,60.0,1.0,False
Ivysaur,,Return,Normal,102.0,1.0,False
Ivysaur,,Sludge Bomb,Poison,90.0,1.0,False
Ivysaur,,Facade,Normal,70.0,1.0,False
Ivysaur,,Secret Power,Normal,70.0,1.0,False
Venusaur,1.0,Tackle,Normal,35.0,0.95,False
Venusaur,1.0,Vine Whip,Grass,35.0,1.0,False
Venusaur,22.0,Razor Leaf,Grass,55.0,0.95,True
Venusaur,,Cut,Normal,50.0,0.95,False
Venusaur,,Strength,Normal,80.0,1.0,False
Venusaur,,Rock Smash,Fighting,20.0,1.0,False
Venusaur,,Bullet Seed,Grass,30.0,1.0,False
Venusaur,,Hidden Power,Normal,60.0,1.0,False
Venusaur,,Hyper Beam,Normal,75.0,0.9,False
Venusaur,,Giga Drain,Grass,60.0,1.0,False
Venusaur,,Earthquake,Ground,100.0,1.0,False
Venusaur,,Return,Normal,102.0,1.0,False
Venusaur,,Sludge Bomb,Poison,90.0,1.0,False
Venusaur,,Facade,Normal,70.0,1.0,False
Venusaur,,Secret Power,Normal,70.0,1.0,False
Charmander,1.0,Scratch,Normal,40.0,1.0,False
Charmander,7.0,Ember,Fire,40.0,1.0,False
Charmander,19.0,Rage,Normal,20.0,1.0,False
Charmander,31.0,Flamethrower,Fire,95.0,1.0,False
Charmander,37.0,Slash,Normal,70.0,1.0,True
Charmander,49.0,Fire Spin,Fire,15.0,0.7,False
Charmander,,Cut,Normal,50.0,0.95,False
Charmander,,Strength,Normal,80.0,1.0,False
Charmander,,Rock Smash,Fighting,20.0,1.0,False
Charmander,,Dragon Claw,Dragon,80.0,1.0,False
Charmander,,Hidden Power,Normal,60.0,1.0,False
Charmander,,Iron Tail,Steel,100.0,0.75,False
Charmander,,Return,Normal,102.0,1.0,False
Charmander,,Dig,Ground,60.0,1.0,False
Charmander,,Brick Break,Fighting,75.0,1.0,False
Charmander,,Fire Blast,Fire,120.0,0.85,False
Charmander,,Aerial Ace,Flying,60.0,1.0,False
Charmander,,Facade,Normal,70.0,1.0,False
Charmander,,Secret Power,Normal,70.0,1.0,False
Charmander,,Overheat,Fire,140.0,0.9,False
Charmander,13.0,Metal Claw,Steel,50.0,0.95,False
Charmeleon,1.0,Ember,Fire,40.0,1.0,False
Charmeleon,1.0,Scratch,Normal,40.0,1.0,False
Charmeleon,20.0,Rage,Normal,20.0,1.0,False
Charmeleon,34.0,Flamethrower,Fire,95.0,1.0,False
Charmeleon,41.0,Slash,Normal,70.0,1.0,True
Charmeleon,55.0,Fire Spin,Fire,15.0,0.7,False
Charmeleon,,Cut,Normal,50.0,0.95,False
Charmeleon,,Strength,Normal,80.0,1.0,False
Charmeleon,,Rock Smash,Fighting,20.0,1.0,False
Charmeleon,,Dragon Claw,Dragon,80.0,1.0,False
Charmeleon,,Hidden Power,Normal,60.0,1.0,False
Charmeleon,,Iron Tail,Steel,100.0,0.75,False
Charmeleon,,Return,Normal,102.0,1.0,False
Charmeleon,,Dig,Ground,60.0,1.0,False
Charmeleon,,Brick Break,Fighting,75.0,1.0,False
Charmeleon,,Fire Blast,Fire,120.0,0.85,False
Charmeleon,,Aerial Ace,Flying,60.0,1.0,False
Charmeleon,,Facade,Normal,70.0,1.0,False
Charmeleon,,Secret Power,Normal,70.0,1.0,False
Charmeleon,,Overheat,Fire,140.0,0.9,False
Charmeleon,13.0,Metal Claw,Steel,50.0,0.95,False
Charizard,1.0,Ember,Fire,40.0,1.0,False
Charizard,1.0,Scratch,Normal,40.0,1.0,False
Charizard,20.0,Rage,Normal,20.0,1.0,False
Charizard,34.0,Flamethrower,Fire,95.0,1.0,False
Charizard,36.0,Wing Attack,Flying,60.0,1.0,False
Charizard,44.0,Slash,Normal,70.0,1.0,True
Charizard,64.0,Fire Spin,Fire,15.0,0.7,False
Charizard,,Cut,Normal,50.0,0.95,False
Charizard,,Fly,Flying,70.0,0.95,False
Charizard,,Strength,Normal,80.0,1.0,False
Charizard,,Rock Smash,Fighting,20.0,1.0,False
Charizard,,Dragon Claw,Dragon,80.0,1.0,False
Charizard,,Hidden Power,Normal,60.0,1.0,False
Charizard,,Hyper Beam,Normal,75.0,0.9,False
Charizard,,Iron Tail,Steel,100.0,0.75,False
Charizard,,Earthquake,Ground,100.0,1.0,False
Charizard,,Return,Normal,102.0,1.0,False
Charizard,,Dig,Ground,60.0,1.0,False
Charizard,,Brick Break,Fighting,75.0,1.0,False
Charizard,,Fire Blast,Fire,120.0,0.85,False
Charizard,,Aerial Ace,Flying,60.0,1.0,False
Charizard,,Facade,Normal,70.0,1.0,False
Charizard,,Secret Power,Normal,70.0,1.0,False
Charizard,,Steel Wing,Steel,70.0,0.9,False
Charizard,,Overheat,Fire,140.0,0.9,False
Charizard,1.0,Heat Wave,Fire,100.0,0.9,False
Charizard,1.0,Metal Claw,Steel,50.0,0.95,False
Squirtle,1.0,Tackle,Normal,35.0,0.95,False
Squirtle,7.0,Bubble,Water,20.0,1.0,False
Squirtle,13.0,Water Gun,Water,40.0,1.0,False
Squirtle,18.0,Bite,Dark,60.0,1.0,False
Squirtle,23.0,Rapid Spin,Normal,20.0,1.0,False
Squirtle,47.0,Hydro Pump,Water,120.0,0.8,False
Squirtle,,Surf,Water,95.0,1.0,False
Squirtle,,Strength,Normal,80.0,1.0,False
Squirtle,,Rock Smash,Fighting,20.0,1.0,False
Squirtle,,Waterfall,Water,80.0,1.0,False
