pokemon,move_name,move_level,tm
Bulbasaur,Cut,0,machine
Bulbasaur,Vine Whip,10,
Bulbasaur,Headbutt,0,machine
Bulbasaur,Tackle,1,
Bulbasaur,Growl,4,
Bulbasaur,Leech Seed,7,
Bulbasaur,Growth,32,
Bulbasaur,Razor Leaf,20,
Bulbasaur,SolarBeam,46,
Bulbasaur,PoisonPowder,15,
Bulbasaur,Sleep Powder,15,
Bulbasaur,Toxic,0,machine
Bulbasaur,Double Team,0,machine
Bulbasaur,Defense Curl,0,machine
Bulbasaur,Flash,0,machine
Bulbasaur,Rest,0,machine
Bulbasaur,Snore,0,machine
Bulbasaur,Curse,0,machine
Bulbasaur,Protect,0,machine
Bulbasaur,Mud Slap,0,machine
Bulbasaur,Giga Drain,0,machine
Bulbasaur,Endure,0,machine
Bulbasaur,Swagger,0,machine
Bulbasaur,Fury Cutter,0,machine
Bulbasaur,Attract,0,machine
Bulbasaur,Sleep Talk,0,machine
Bulbasaur,Return,0,machine
Bulbasaur,Frustration,0,machine
Bulbasaur,Sweet Scent,25,
Bulbasaur,Synthesis,39,
Bulbasaur,Hidden Power,0,machine
Bulbasaur,Sunny Day,0,machine
Ivysaur,Cut,0,machine
Ivysaur,Vine Whip,10,
Ivysaur,Headbutt,0,machine
Ivysaur,Tackle,1,
Ivysaur,Growl,1,
Ivysaur,Leech Seed,1,
Ivysaur,Growth,38,
Ivysaur,Razor Leaf,22,
Ivysaur,SolarBeam,56,
Ivysaur,PoisonPowder,15,
Ivysaur,Sleep Powder,15,
Ivysaur,Toxic,0,machine
Ivysaur,Double Team,0,machine
Ivysaur,Defense Curl,0,machine
Ivysaur,Flash,0,machine
Ivysaur,Rest,0,machine
Ivysaur,Snore,0,machine
Ivysaur,Curse,0,machine
Ivysaur,Protect,0,machine
Ivysaur,Mud Slap,0,machine
Ivysaur,Giga Drain,0,machine
Ivysaur,Endure,0,machine
Ivysaur,Swagger,0,machine
Ivysaur,Fury Cutter,0,machine
Ivysaur,Attract,0,machine
Ivysaur,Sleep Talk,0,machine
Ivysaur,Return,0,machine
Ivysaur,Frustration,0,machine
Ivysaur,Sweet Scent,29,
Ivysaur,Synthesis,47,
Ivysaur,Hidden Power,0,machine
Ivysaur,Sunny Day,0,machine
Venusaur,Cut,0,machine
Venusaur,Vine Whip,1,
Venusaur,Headbutt,0,machine
Venusaur,Tackle,1,
Venusaur,Growl,1,
Venusaur,Roar,0,machine
Venusaur,Hyper Beam,0,machine
Venusaur,Leech Seed,1,
Venusaur,Growth,41,
Venusaur,Razor Leaf,22,
Venusaur,SolarBeam,65,
Venusaur,PoisonPowder,15,
Venusaur,Sleep Powder,15,
Venusaur,Toxic,0,machine
Venusaur,Double Team,0,machine
Venusaur,Defense Curl,0,machine
Venusaur,Flash,0,machine
Venusaur,Rest,0,machine
Venusaur,Snore,0,machine
Venusaur,Curse,0,machine
Venusaur,Protect,0,machine
Venusaur,Mud Slap,0,machine
Venusaur,Giga Drain,0,machine
Venusaur,Endure,0,machine
Venusaur,Swagger,0,machine
Venusaur,Fury Cutter,0,machine
Venusaur,Attract,0,machine
Venusaur,Sleep Talk,0,machine
Venusaur,Return,0,machine
Venusaur,Frustration,0,machine
Venusaur,Sweet Scent,29,
Venusaur,Synthesis,53,
Venusaur,Hidden Power,0,machine
Venusaur,Sunny Day,0,machine
Charmander,Fire Punch,0,machine
Charmander,Scratch,1,
Charmander,Cut,0,machine
Charmander,Headbutt,0,machine
Charmander,Growl,1,
Charmander,Ember,7,
Charmander,Flamethrower,31,
Charmander,Strength,0,machine
Charmander,Dragon Rage,43,
Charmander,Fire Spin,49,
Charmander,Dig,0,machine
Charmander,Toxic,0,machine
Charmander,Rage,19,
Charmander,Double Team,0,machine
Charmander,Smokescreen,13,
Charmander,Defense Curl,0,machine
Charmander,Fire Blast,0,machine
Charmander,Swift,0,machine
Charmander,Rest,0,machine
Charmander,Slash,37,
Charmander,Snore,0,machine
Charmander,Curse,0,machine
Charmander,Protect,0,machine
Charmander,Scary Face,25,
Charmander,Mud Slap,0,machine
Charmander,Endure,0,machine
Charmander,Swagger,0,machine
Charmander,Fury Cutter,0,machine
Charmander,Attract,0,machine
Charmander,Sleep Talk,0,machine
Charmander,Return,0,machine
Charmander,Frustration,0,machine
Charmander,Dynamic Punch,0,machine
Charmander,Dragon Breath,0,machine
Charmander,Iron Tail,0,machine
Charmander,Hidden Power,0,machine
Charmander,Sunny Day,0,machine
Charmander,Rock Smash,0,machine
Charmeleon,Fire Punch,0,machine
Charmeleon,Scratch,1,
Charmeleon,Cut,0,machine
Charmeleon,Headbutt,0,machine
Charmeleon,Growl,1,
Charmeleon,Ember,1,
Charmeleon,Flamethrower,34,
Charmeleon,Strength,0,machine
Charmeleon,Dragon Rage,48,
Charmeleon,Fire Spin,55,
Charmeleon,Dig,0,machine
Charmeleon,Toxic,0,machine
Charmeleon,Rage,20,
Charmeleon,Double Team,0,machine
