pokemon,move_level,move_name,move_type,power,accuracy,crit,move_stage
Bulbasaur,1.0,Tackle,Normal,35,0.95,False,
Bulbasaur,10.0,Vine whip,Grass,35,1.0,False,
Bulbasaur,20.0,Razor leaf,Grass,55,0.95,True,
Bulbasaur,,Cut,Normal,50,0.95,False,10.0
Bulbasaur,,Headbutt,Normal,70,1.0,False,10.0
Bulbasaur,,Hidden power,Normal,60,1.0,False,29.0
Bulbasaur,,Giga drain,Grass,60,1.0,False,65.0
Bulbasaur,,Return,Normal,102,1.0,False,12.0
Bulbasaur,,Mud-slap,Ground,20,1.0,False,5.0
Bulbasaur,,Fury cutter,Bug,10,0.95,False,9.0
Ivysaur,1.0,Tackle,Normal,35,0.95,False,
Ivysaur,10.0,Vine whip,Grass,35,1.0,False,
Ivysaur,22.0,Razor leaf,Grass,55,0.95,True,
Ivysaur,,Cut,Normal,50,0.95,False,10.0
Ivysaur,,Headbutt,Normal,70,1.0,False,10.0
Ivysaur,,Hidden power,Normal,60,1.0,False,29.0
Ivysaur,,Giga drain,Grass,60,1.0,False,65.0
Ivysaur,,Return,Normal,102,1.0,False,12.0
Ivysaur,,Mud-slap,Ground,20,1.0,False,5.0
Ivysaur,,Fury cutter,Bug,10,0.95,False,9.0
Venusaur,1.0,Tackle,Normal,35,0.95,False,
Venusaur,1.0,Vine whip,Grass,35,1.0,False,
Venusaur,22.0,Razor leaf,Grass,55,0.95,True,
Venusaur,,Cut,Normal,50,0.95,False,10.0
Venusaur,,Headbutt,Normal,70,1.0,False,10.0
Venusaur,,Hidden power,Normal,60,1.0,False,29.0
Venusaur,,Hyper beam,Normal,75,0.9,False,65.0
Venusaur,,Giga drain,Grass,60,1.0,False,65.0
Venusaur,,Return,Normal,102,1.0,False,12.0
Venusaur,,Mud-slap,Ground,20,1.0,False,5.0
Venusaur,,Fury cutter,Bug,10,0.95,False,9.0
Charmander,1.0,Scratch,Normal,40,1.0,False,
Charmander,7.0,Ember,Fire,40,1.0,False,
Charmander,19.0,Rage,Normal,20,1.0,False,
Charmander,31.0,Flamethrower,Fire,95,1.0,False,
Charmander,37.0,Slash,Normal,70,1.0,True,
Charmander,49.0,Fire spin,Fire,15,0.7,False,
Charmander,,Cut,Normal,50,0.95,False,10.0
Charmander,,Strength,Normal,80,1.0,False,
Charmander,,Dynamicpunch,Fighting,100,0.5,False,
Charmander,,Headbutt,Normal,70,1.0,False,10.0
Charmander,,Rock smash,Fighting,20,1.0,False,12.0
Charmander,,Hidden power,Normal,60,1.0,False,29.0
Charmander,,Iron tail,Steel,100,0.75,False,20.0
Charmander,,Dragonbreath,Dragon,60,1.0,False,
Charmander,,Return,Normal,102,1.0,False,12.0
Charmander,,Dig,Ground,60,1.0,False,14.0
Charmander,,Mud-slap,Ground,20,1.0,False,5.0
Charmander,,Fire blast,Fire,120,0.85,False,12.0
Charmander,,Swift,Normal,60,1.0,False,7.0
Charmander,,Fire punch,Fire,75,1.0,False,12.0
Charmander,,Fury cutter,Bug,10,0.95,False,9.0
Charmeleon,1.0,Ember,Fire,40,1.0,False,
Charmeleon,1.0,Scratch,Normal,40,1.0,False,
Charmeleon,20.0,Rage,Normal,20,1.0,False,
Charmeleon,34.0,Flamethrower,Fire,95,1.0,False,
Charmeleon,41.0,Slash,Normal,70,1.0,True,
Charmeleon,55.0,Fire spin,Fire,15,0.7,False,
Charmeleon,,Cut,Normal,50,0.95,False,10.0
Charmeleon,,Strength,Normal,80,1.0,False,
Charmeleon,,Dynamicpunch,Fighting,100,0.5,False,
Charmeleon,,Headbutt,Normal,70,1.0,False,10.0
Charmeleon,,Rock smash,Fighting,20,1.0,False,12.0
Charmeleon,,Hidden power,Normal,60,1.0,False,29.0
Charmeleon,,Iron tail,Steel,100,0.75,False,20.0
Charmeleon,,Dragonbreath,Dragon,60,1.0,False,
Charmeleon,,Return,Normal,102,1.0,False,12.0
Charmeleon,,Dig,Ground,60,1.0,False,14.0
Charmeleon,,Mud-slap,Ground,20,1.0,False,5.0
Charmeleon,,Fire blast,Fire,120,0.85,False,12.0
Charmeleon,,Swift,Normal,60,1.0,False,7.0
Charmeleon,,Fire punch,Fire,75,1.0,False,12.0
Charmeleon,,Fury cutter,Bug,10,0.95,False,9.0
Charizard,1.0,Ember,Fire,40,1.0,False,
Charizard,1.0,Scratch,Normal,40,1.0,False,
Charizard,20.0,Rage,Normal,20,1.0,False,
Charizard,34.0,Flamethrower,Fire,95,1.0,False,
Charizard,36.0,Wing attack,Flying,60,1.0,False,
Charizard,44.0,Slash,Normal,70,1.0,True,
Charizard,64.0,Fire spin,Fire,15,0.7,False,
Charizard,,Cut,Normal,50,0.95,False,10.0
Charizard,,Fly,Flying,70,0.95,False,23.0
Charizard,,Strength,Normal,80,1.0,False,
Charizard,,Dynamicpunch,Fighting,100,0.5,False,
Charizard,,Headbutt,Normal,70,1.0,False,10.0
Charizard,,Rock smash,Fighting,20,1.0,False,12.0
Charizard,,Hidden power,Normal,60,1.0,False,29.0
Charizard,,Hyper beam,Normal,75,0.9,False,65.0
Charizard,,Iron tail,Steel,100,0.75,False,20.0
Charizard,,Dragonbreath,Dragon,60,1.0,False,
Charizard,,Earthquake,Ground,100,1.0,False,47.0
Charizard,,Return,Normal,102,1.0,False,12.0
Charizard,,Dig,Ground,60,1.0,False,14.0
Charizard,,Mud-slap,Ground,20,1.0,False,5.0
Charizard,,Fire blast,Fire,120,0.85,False,12.0
Charizard,,Swift,Normal,60,1.0,False,7.0
Charizard,,Steel wing,Steel,70,0.9,False,
Charizard,,Fire punch,Fire,75,1.0,False,12.0
Charizard,,Fury cutter,Bug,10,0.95,False,9.0
Squirtle,1.0,Tackle,Normal,35,0.95,False,
Squirtle,7.0,Bubble,Water,20,1.0,False,
Squirtle,13.0,Water gun,Water,40,1.0,False,
Squirtle,18.0,Bite,Dark,60,1.0,False,
