Move,Type,Power,Acc
Absorb,Grass,20,1
Acid,Poison,40,1
Acid Armor,Poison,0,1
Aeroblast,Flying,100,0.95
Agility,Psychic,0,1
Amnesia,Psychic,0,1
Ancientpower,Rock,60,1
Attract,Normal,0,1
Aurora Beam,Ice,65,1
Barrage,Normal,15,0.85
Barrier,Psychic,0,1
Baton Pass,Normal,0,1
Beat Up,Dark,10,1
Belly Drum,Normal,0,1
Bide,Normal,0,1
Bind,Normal,15,0.75
Bite,Dark,60,1
Blizzard,Ice,120,0.7
Body Slam,Normal,85,1
Bone Club,Ground,65,0.85
Bone Rush,Ground,25,0.8
Bonemerang,Ground,50,0.9
Bubble,Water,20,1
Bubblebeam,Water,65,1
Charm,Normal,0,1
Clamp,Water,35,0.75
Comet Punch,Normal,18,0.85
Confuse Ray,Ghost,0,1
Confusion,Psychic,50,1
Constrict,Normal,10,1
Conversion,Normal,0,1
Conversion 2,Normal,0,1
Cotton Spore,Grass,0,0.85
Counter,Fighting,0,1
Crabhammer,Water,90,0.85
Cross Chop,Fighting,100,0.8
Crunch,Dark,80,1
Curse,???,0,1
Cut,Normal,50,0.95
Defense Curl,Normal,0,1
Destiny Bond,Ghost,0,1
Detect,Fighting,0,1
Dig,Ground,60,1
Disable,Normal,0,0.55
Dizzy Punch,Normal,70,1
Double Kick,Fighting,30,1
Double Team,Normal,0,1
Double-edge,Normal,120,1
Doubleslap,Normal,15,0.85
Dragon Rage,Dragon,0,1
Dragonbreath,Dragon,60,1
Dream Eater,Psychic,100,1
Drill Peck,Flying,80,1
Dynamicpunch,Fighting,100,0.5
Earthquake,Ground,100,1
Egg Bomb,Normal,100,0.75
Ember,Fire,40,1
Encore,Normal,0,1
Endure,Normal,0,1
Explosion,Normal,250,1
Extremespeed,Normal,80,1
Faint Attack,Dark,60,1
False Swipe,Normal,40,1
Fire Blast,Fire,120,0.85
Fire Punch,Fire,75,1
Fire Spin,Fire,15,0.7
Fissure,Ground,0,0.3
Flail,Normal,0,1
Flame Wheel,Fire,60,1
Flamethrower,Fire,95,1
Flash,Normal,0,0.7
Fly,Flying,70,0.95
Focus Energy,Normal,0,1
Foresight,Normal,0,1
Frustration,Normal,0,1
Fury Attack,Normal,15,0.85
Fury Cutter,Bug,10,0.95
Fury Swipes,Normal,10,0.8
Future Sight,Psychic,80,0.9
Giga Drain,Grass,60,1
Glare,Normal,0,0.75
Growl,Normal,0,1
Growth,Normal,0,1
Guillotine,Normal,0,0.3
Gust,Flying,40,1
Harden,Normal,0,1
Haze,Ice,0,1
Headbutt,Normal,70,1
Heal Bell,Normal,0,1
Hi Jump Kick,Fighting,85,0.9
Hidden Power,Normal,0,1
Horn Attack,Normal,65,1
Horn Drill,Normal,0,0.3
Hydro Pump,Water,120,0.8
Hyper Beam,Normal,150,0.9
Hyper Fang,Normal,80,0.9
Hypnosis,Psychic,0,0.6
Ice Beam,Ice,95,1
Ice Punch,Ice,75,1
Icy Wind,Ice,55,0.95
Iron Tail,Steel,100,0.75
Jump Kick,Fighting,70,0.95
Karate Chop,Fighting,55,1
Kinesis,Psychic,0,0.8
Leech Life,Bug,20,1
Leech Seed,Grass,0,0.9
Leer,Normal,0,1
Lick,Ghost,20,1
Light Screen,Psychic,0,1
Lock-On,Normal,0,1
Lovely Kiss,Normal,0,0.75
