evo_id,move_type_1,move_type_2,move_type_3,move_type_4,variant_id
1,Bug,Grass,Ground,Normal,1
2,Bug,Ground,Normal,Steel,2
2,Dragon,Flying,Ground,Steel,3
2,Bug,Fire,Flying,Steel,4
2,Fire,Flying,Normal,Steel,5
2,Dragon,Fighting,Normal,Steel,6
2,Bug,Fighting,Flying,Normal,7
2,Dragon,Fighting,Ground,Normal,8
2,Dragon,Fighting,Flying,Ground,9
2,Bug,Dragon,Fire,Normal,10
2,Bug,Fighting,Ground,Steel,11
2,Dragon,Fire,Ground,Steel,12
2,Bug,Dragon,Flying,Ground,13
2,Bug,Fire,Flying,Normal,14
2,Fighting,Flying,Ground,Normal,15
2,Bug,Dragon,Ground,Normal,16
2,Bug,Dragon,Fighting,Steel,17
2,Bug,Fighting,Ground,Normal,18
2,Bug,Fighting,Flying,Ground,19
2,Dragon,Fire,Flying,Ground,20
2,Bug,Dragon,Fire,Ground,21
2,Dragon,Ground,Normal,Steel,22
2,Bug,Flying,Ground,Normal,23
2,Bug,Dragon,Flying,Normal,24
2,Bug,Fighting,Fire,Steel,25
2,Bug,Dragon,Fighting,Flying,26
2,Bug,Fire,Flying,Ground,27
2,Bug,Fire,Ground,Normal,28
2,Bug,Fighting,Fire,Flying,29
2,Dragon,Fire,Flying,Normal,30
2,Fighting,Flying,Normal,Steel,31
2,Bug,Dragon,Normal,Steel,32
2,Dragon,Flying,Normal,Steel,33
2,Dragon,Flying,Ground,Normal,34
2,Bug,Dragon,Fighting,Ground,35
2,Bug,Flying,Normal,Steel,36
2,Dragon,Fighting,Fire,Steel,37
2,Bug,Fighting,Normal,Steel,38
2,Dragon,Fire,Normal,Steel,39
2,Dragon,Fire,Ground,Normal,40
2,Fire,Ground,Normal,Steel,41
2,Dragon,Fighting,Fire,Flying,42
2,Bug,Fire,Normal,Steel,43
2,Bug,Dragon,Fighting,Normal,44
2,Fighting,Fire,Ground,Steel,45
2,Flying,Ground,Normal,Steel,46
2,Dragon,Fighting,Flying,Steel,47
2,Bug,Fighting,Fire,Normal,48
2,Fighting,Fire,Flying,Steel,49
2,Fire,Flying,Ground,Steel,50
2,Bug,Fighting,Flying,Steel,51
2,Dragon,Fighting,Ground,Steel,52
2,Bug,Dragon,Fire,Steel,53
2,Bug,Dragon,Fighting,Fire,54
2,Bug,Fighting,Fire,Ground,55
2,Dragon,Fighting,Fire,Normal,56
2,Fire,Flying,Ground,Normal,57
2,Bug,Dragon,Ground,Steel,58
2,Fighting,Flying,Ground,Steel,59
2,Bug,Dragon,Fire,Flying,60
2,Fighting,Fire,Normal,Steel,61
2,Bug,Flying,Ground,Steel,62
2,Fighting,Fire,Flying,Ground,63
2,Fighting,Ground,Normal,Steel,64
2,Bug,Dragon,Flying,Steel,65
2,Fighting,Fire,Ground,Normal,66
2,Dragon,Fighting,Fire,Ground,67
2,Bug,Fire,Ground,Steel,68
2,Dragon,Fighting,Flying,Normal,69
2,Dragon,Fire,Flying,Steel,70
2,Fighting,Fire,Flying,Normal,71
3,Ground,Normal,Rock,Water,72
3,Dark,Fighting,Normal,Steel,73
3,Fighting,Ice,Normal,Water,74
3,Ground,Ice,Normal,Rock,75
3,Dark,Ice,Normal,Water,76
3,Fighting,Ice,Steel,Water,77
3,Fighting,Ground,Rock,Water,78
3,Ice,Normal,Rock,Water,79
3,Dark,Ice,Steel,Water,80
3,Dark,Fighting,Ground,Rock,81
3,Fighting,Ice,Normal,Rock,82
3,Dark,Ice,Normal,Rock,83
3,Ground,Normal,Steel,Water,84
3,Dark,Fighting,Rock,Steel,85
3,Fighting,Ground,Normal,Water,86
3,Dark,Fighting,Rock,Water,87
3,Dark,Ground,Ice,Steel,88
3,Dark,Ground,Steel,Water,89
3,Fighting,Ground,Normal,Rock,90
3,Dark,Ground,Normal,Rock,91
3,Dark,Fighting,Normal,Water,92
3,Dark,Fighting,Ice,Steel,93
3,Dark,Fighting,Steel,Water,94
3,Fighting,Normal,Rock,Steel,95
3,Dark,Fighting,Normal,Rock,96
3,Fighting,Normal,Rock,Water,97
3,Dark,Normal,Rock,Steel,98
3,Fighting,Ground,Ice,Steel,99
3,Ground,Ice,Rock,Steel,100
3,Dark,Ground,Ice,Water,101
3,Ground,Ice,Rock,Water,102
3,Ground,Rock,Steel,Water,103
3,Dark,Ground,Ice,Normal,104
3,Fighting,Ice,Rock,Steel,105
3,Dark,Ice,Rock,Steel,106
3,Dark,Fighting,Ice,Water,107
3,Dark,Ground,Normal,Steel,108
3,Ground,Ice,Normal,Steel,109
3,Ice,Rock,Steel,Water,110
3,Fighting,Rock,Steel,Water,111
3,Ground,Ice,Normal,Water,112
3,Dark,Fighting,Ice,Normal,113
3,Ground,Ice,Steel,Water,114
