evo_id_pp,evo_index_pp,pokemon_pp,hp_pp_base,attack_pp_base,defense_pp_base,sp_attack_pp_base,sp_defense_pp_base,speed_pp_base,type_1_pp,type_2_pp,evo_lvl_pp,evo_item_stage_pp,stage_available_pp,legendary_pp,generation
1,1,bulbasaur,45,49,49,65,65,45,grass,poison,0,0.0,1.0,False,1
1,2,ivysaur,60,62,63,80,80,60,grass,poison,16,0.0,1.0,False,1
1,3,venusaur,80,82,83,100,100,80,grass,poison,32,0.0,1.0,False,1
2,1,charmander,39,52,43,50,50,65,fire,,0,0.0,1.0,False,1
2,2,charmeleon,58,64,58,65,65,80,fire,,16,0.0,1.0,False,1
2,3,charizard,78,84,78,85,85,100,fire,flying,36,0.0,1.0,False,1
3,1,squirtle,44,48,65,50,50,43,water,,0,0.0,1.0,False,1
3,2,wartortle,59,63,80,65,65,58,water,,16,0.0,1.0,False,1
3,3,blastoise,79,83,100,85,85,78,water,,36,0.0,1.0,False,1
4,1,caterpie,45,30,35,20,20,45,bug,,0,0.0,5.0,False,1
4,2,metapod,50,20,55,25,25,30,bug,,7,0.0,5.0,False,1
4,3,butterfree,60,45,50,80,80,70,bug,flying,10,0.0,5.0,False,1
5,1,weedle,40,35,30,20,20,50,bug,poison,0,0.0,4.0,False,1
5,2,kakuna,45,25,50,25,25,35,bug,poison,7,0.0,4.0,False,1
5,3,beedrill,65,80,40,45,45,75,bug,poison,10,0.0,4.0,False,1
6,1,pidgey,40,45,40,35,35,56,flying,normal,0,0.0,2.0,False,1
6,2,pidgeotto,63,60,55,50,50,71,flying,normal,18,0.0,2.0,False,1
6,3,pidgeot,83,80,75,70,70,91,flying,normal,36,0.0,2.0,False,1
7,1,rattata,30,56,35,25,25,72,normal,,0,0.0,2.0,False,1
7,2,raticate,55,81,60,50,50,97,normal,,20,0.0,2.0,False,1
8,1,spearow,40,60,30,31,31,70,flying,normal,0,0.0,4.0,False,1
8,2,fearow,65,90,65,61,61,100,flying,normal,20,0.0,4.0,False,1
9,1,ekans,35,60,44,40,40,55,poison,,0,0.0,9.0,False,1
9,2,arbok,60,85,69,65,65,80,poison,,22,0.0,9.0,False,1
10,1,pikachu,35,55,30,50,50,90,electric,,0,0.0,5.0,False,1
10,2,raichu,60,90,55,90,90,100,electric,,0,23.0,5.0,False,1
12,1,nidoran_f,55,47,52,40,40,41,poison,,0,0.0,4.0,False,1
12,2,nidorina,70,62,67,55,55,56,poison,,16,0.0,4.0,False,1
12,3,nidoqueen,90,82,87,75,75,76,ground,poison,16,8.0,4.0,False,1
13,1,nidoran_m,46,57,40,40,40,50,poison,,0,0.0,4.0,False,1
13,2,nidorino,61,72,57,55,55,65,poison,,16,0.0,4.0,False,1
13,3,nidoking,81,92,77,75,75,85,ground,poison,16,8.0,4.0,False,1
14,1,clefairy,70,45,48,60,60,35,normal,,0,0.0,8.0,False,1
14,2,clefable,95,70,73,85,85,60,normal,,0,8.0,8.0,False,1
15,2,ninetales,73,76,75,100,100,100,fire,,0,23.0,999.0,False,1
16,1,jigglypuff,115,45,20,25,25,20,normal,,0,0.0,7.0,False,1
16,2,wigglytuff,140,70,45,50,50,45,normal,,0,8.0,7.0,False,1
17,1,zubat,40,45,35,40,40,55,flying,poison,0,0.0,8.0,False,1
17,2,golbat,75,80,70,75,75,90,flying,poison,22,0.0,8.0,False,1
18,1,oddish,45,50,55,75,75,30,grass,poison,0,0.0,11.0,False,1
18,2,gloom,60,65,70,85,85,40,grass,poison,21,0.0,11.0,False,1
18,3,vileplume,75,80,85,100,100,50,grass,poison,21,23.0,11.0,False,1
19,1,paras,35,70,55,55,55,25,bug,grass,0,0.0,8.0,False,1
19,2,parasect,60,95,80,80,80,30,bug,grass,24,0.0,8.0,False,1
20,1,venonat,60,55,50,40,40,45,bug,poison,0,0.0,26.0,False,1
20,2,venomoth,70,65,60,90,90,90,bug,poison,31,0.0,26.0,False,1
21,1,diglett,10,55,25,45,45,95,ground,,0,0.0,14.0,False,1
21,2,dugtrio,35,80,50,70,70,120,ground,,26,0.0,14.0,False,1
23,1,psyduck,50,52,48,50,50,55,water,,0,0.0,26.0,False,1
23,2,golduck,80,82,78,80,80,85,water,,33,0.0,26.0,False,1
24,1,mankey,40,80,35,35,35,70,fighting,,0,0.0,11.0,False,1
24,2,primeape,65,105,60,60,60,95,fighting,,28,0.0,11.0,False,1
25,1,growlithe,55,70,45,50,50,60,fire,,0,0.0,21.0,False,1
